Date,SP500Returns,HousePriceIndex,RetailTrade,IRSpread,BuildingPermits,ConsumerSentiment,AvgWeeklyHoursProd,FutureNewOrders,DollarIndex,ThreemonthsIR,FiveyearsIR,TenyearsIR,ThirtyyearsIR,IndProdInd,DispPersIncome,RealGDP,ManTradeSales,InvToSales,AvgDurUnem,YOYCoreCPI,PrimeLendRate,ConsumerDebtToIncome,CommNndLoansAllBanks,OutstandingLoans,HousePriceIndex_pct_change,RetailTrade_pct_change,BuildingPermits_pct_change,ConsumerSentiment_pct_change,AvgWeeklyHoursProd_pct_change,FutureNewOrders_pct_change,ThreemonthsIR_pct_change,FiveyearsIR_pct_change,TenyearsIR_pct_change,ThirtyyearsIR_pct_change,IndProdInd_pct_change,DispPersIncome_pct_change,ManTradeSales_pct_change,InvToSales_pct_change,AvgDurUnem_pct_change,PrimeLendRate_pct_change,CommNndLoansAllBanks_pct_change,OutstandingLoans_pct_change,RealGDP_pct_change,Indicator,Type
2000-12-01,0.004053445529197841,245.83393102411458,86.2565802856619,-0.27000000000000046,1543,98.4,40.3,4.3,-0.049288442368768615,5.73,4.99,5.12,5.46,92.5334,9647.6,13228.672366624249,1130446,1.398,12.5,0.025741466144376224,9.5,12.072868749961561,1090.1273,3703.9349,0.008664652057833067,-8.396215916633976e-4,-0.04399008674101612,-0.08550185873605942,-0.01946472019464729,-0.653225806451613,-0.04975124378109452,-0.0793357933579335,-0.06569343065693434,-0.02499999999999991,-0.0032970879851786927,0.001848428835489857,0.007839322856534103,-0.009213323883770497,0.008064516129032251,0,0.00876607891775194,0.00761064087094554,-0.0017478492528242295,0.9607401839999999,Expansion
2001-01-01,0.0346365770863295,247.82,86.4967543020713,0.6799999999999997,1699,94.7,40.6,5.6,0.008762313047870007,4.86,4.85,5.19,5.54,92.0304,9697.4,13219.251,1121377,1.411,12.7,0.025655326268823275,9,12.121152,1094.8584,3720.2791,0.00807890500555275,0.002784413845459577,0.10110174983797804,-0.03760162601626016,0.007444168734491496,0.3023255813953487,-0.1518324607329843,-0.028056112224449037,0.013671875,0.0146520146520146,-0.005435875046199579,0.005161905551639645,-0.00802249731521898,0.009298998569384986,0.016000000000000014,-0.052631578947368474,0.004339951856998647,0.0044126585486155,-7.121929066757904e-4,0.9738230520000001,Expansion
2001-02-01,-0.09229073584900005,249.41799356944708,86.2998292991068,0.6099999999999994,1656,90.6,40.5,15.4,0.013481768371745417,4.73,4.7,4.92,5.34,91.4079,9708.8,13241.28350228004,1126325,1.397,12.8,0.027870680044593144,8.5,12.209442639029755,1097.1376,3739.1603,0.006448202604499631,-0.002276675056231303,-0.025309005297233678,-0.043294614572333745,-0.0024630541871921707,1.7500000000000004,-0.02674897119341557,-0.030927835051546282,-0.05202312138728338,-0.036101083032491044,-0.00676406926406925,0.0011755728339555294,0.004412432215035622,-0.009922041105598911,0.007874015748031704,-0.05555555555555558,0.0020817303863220893,0.005075210620622439,0.0016666982327544488,0.986910404,Expansion
2001-12-01,0.007573834192915685,261.4473646084868,86.9122163391056,3.7700000000000005,1680,88.8,40.2,40.7,0.005338870369556492,1.71,4.38,5.07,5.48,87.9329,9750.3,13358.155612561955,1117422,1.365,14.5,0.02782324058919805,4.75,12.547512590416865,1018.2451,3754.6525,0.004801363859241459,-0.014097181404190917,0.017565112053301135,0.058402860548271596,0.0024937655860348684,-0.03554502369668244,-0.02285714285714291,0.07352941176470584,0.060669456066945626,0.039848197343453684,-3.4332578092399757e-4,0.0017362894774692883,0.001967310720319082,-0.001463057790782707,0.013986013986013957,-0.050000000000000044,-0.009466269744377476,-0.0012115321452511596,0.0028752982915585257,2.31498e-4,Expansion
2002-01-01,-0.015573832559794276,262.77,86.7093459628842,3.7100000000000004,1665,93,40.2,57.1,0.029892916488222676,1.73,4.42,5.07,5.44,88.5452,9951.9,13394.91,1116339,1.372,14.7,0.026101141924959048,4.75,12.442115,1007.9886,3738.0779000000002,0.005058897394103923,-0.002334198628991979,-0.008928571428571397,0.04729729729729737,0,0.40294840294840295,0.011695906432748648,0.009132420091324311,0,-0.007299270072992692,0.006963264034280492,0.020676286883480444,-9.691951653001407e-4,0.00512820512820511,0.01379310344827589,0,-0.010072722176615367,-0.004414416513911723,0.002751456750771819,9.25885e-4,Expansion
2002-02-01,-0.020766211305560334,264.15105898207077,87.0004422741382,3.7800000000000002,1787,90.7,40.2,54.6,-0.008981986177345025,1.76,4.27,4.88,5.54,88.5362,9966.6,13426.368887215756,1120400,1.363,15,0.025488069414316694,4.75,12.377508630753043,1017.7776,3753.7997,0.005255771138527265,0.0033571503512273004,0.073273273273273265,-0.02473118279569886,0,-0.04378283712784592,0.01734104046242768,-0.03393665158371051,-0.03747534516765294,0.018382352941176405,-1.0164300266979343e-4,0.001477104874446189,0.003637783863145616,-0.006559766763848507,0.020408163265306145,0,0.009711419355338036,0.00420585135478313,0.0023485702565941846,0.002082839,Expansion
2002-03-01,0.036738893618839086,265.627677018492,86.5469869569923,4.15,1691,95.7,40.5,53.8,-0.004531730294336067,1.76,4.91,5.42,5.91,89.2097,9973.3,13453.24239365856,1114874,1.369,15.4,0.024363833243096877,4.75,12.35134385749113,1011.7578,3762.4082,0.005590051548956643,-0.005212103585830685,-0.0537213206491326,0.055126791620727644,0.00746268656716409,-0.014652014652014711,0,0.1498829039812648,0.11065573770491799,0.06678700361010836,0.007607057903998626,6.722452992995454e-4,-0.004932167083184558,0.00440205429200291,0.026666666666666616,0,-0.005914651688148753,0.0022932763301142245,0.0020015468566778605,0.003701825,Expansion
2002-04-01,-0.061417626159139926,267.25,87.5930805809063,3.9799999999999995,1669,93,40.6,54,-0.02891587348889202,1.74,4.53,5.11,5.72,89.6389,10007.2,13477.356,1127695,1.355,16.3,0.02485143165856285,4.75,12.347863,998.0517,3758.5598,0.0061075073189569284,0.012087002224974386,-0.013010053222945017,-0.028213166144200663,0.0024691358024691024,0.003717472118959231,-0.011363636363636354,-0.07739307535641549,-0.05719557195571945,-0.0321489001692048,0.004811136008752603,0.0033990755316697374,0.011499954254920342,-0.010226442658875068,0.058441558441558517,0,-0.013546819209103167,-0.001022855521099486,0.001792401090818574,0.005782093000000001,Expansion
2002-05-01,-0.00908148107604545,269.03326057576044,86.2506518458719,4.04,1716,96.9,40.6,58.6,-0.029342859113762443,1.71,4.37,5.08,5.75,90.0271,10047.9,13499.807363758628,1130035,1.356,16.8,0.025364274150026844,4.75,12.352796447694695,991.958,3755.5975,0.0066726307792719375,-0.015325739500558488,0.028160575194727366,0.041935483870967794,0,0.08518518518518525,-0.017241379310344862,-0.03532008830022082,-0.005870841487279899,0.005244755244755206,0.00433070910062483,0.0040670717083699515,0.0020750291523861097,7.380073800737907e-4,0.030674846625766916,0,-0.006105595531774588,-7.881476303769341e-4,0.0016658581815771623,0.008322679999999999,Expansion
2002-06-01,-0.07245535441757367,270.8530384286563,86.9408127013623,4.03,1758,92.4,40.7,45.3,-0.050979314032364,1.67,4.09,4.86,5.7,90.7645,10078.5,13518.78284984084,1133716,1.356,16.9,0.022580645161290214,4.75,12.357826868507498,980.7137,3778.8418,0.006764137077331478,0.008001804516488908,0.02447552447552437,-0.04643962848297212,0.0024630541871921707,-0.226962457337884,-0.023391812865497075,-0.06407322654462244,-0.04330708661417315,-0.008695652173912993,0.008190866972278332,0.003045412474248277,0.0032574212303158046,0,0.005952380952380931,0,-0.011335459767449763,0.006189241525482947,0.0014056116188112533,0.011322409999999998,Expansion
