Date,Indicator,Type
01/03/1990,0.869473808,Expansion
01/04/1990,0.885713035,Expansion
01/05/1990,0.90198286,Expansion
01/06/1990,0.918278926,Expansion
01/07/1990,0.934596871,Expansion
01/08/1990,0.950932326,Expansion
01/09/1990,0.967280917,Expansion
01/10/1990,0.983638268,Expansion
01/11/1990,1,Peak
01/12/1990,0.617316568,Recession
01/01/1991,0.292893219,Recession
01/02/1991,0.076120467,Recession
01/03/1991,0,Trough
01/04/1991,8.57E-05,Expansion
01/05/1991,0.000342675,Expansion
01/06/1991,0.000770964,Expansion
01/07/1991,0.001370465,Expansion
01/08/1991,0.002141077,Expansion
01/09/1991,0.003082666,Expansion
01/10/1991,0.004195072,Expansion
01/11/1991,0.005478105,Expansion
01/12/1991,0.006931543,Expansion
01/01/1992,0.008555139,Expansion
01/02/1992,0.010348613,Expansion
01/03/1992,0.012311659,Expansion
01/04/1992,0.014443941,Expansion
01/05/1992,0.016745092,Expansion
01/06/1992,0.01921472,Expansion
01/07/1992,0.021852399,Expansion
01/08/1992,0.024657679,Expansion
01/09/1992,0.02763008,Expansion
01/10/1992,0.03076909,Expansion
01/11/1992,0.034074174,Expansion
01/12/1992,0.037544764,Expansion
01/01/1993,0.041180265,Expansion
01/02/1993,0.044980056,Expansion
01/03/1993,0.048943484,Expansion
01/04/1993,0.053069871,Expansion
01/05/1993,0.057358509,Expansion
01/06/1993,0.061808664,Expansion
01/07/1993,0.066419574,Expansion
01/08/1993,0.071190447,Expansion
01/09/1993,0.076120467,Expansion
01/10/1993,0.08120879,Expansion
01/11/1993,0.086454542,Expansion
01/12/1993,0.091856826,Expansion
01/01/1994,0.097414716,Expansion
01/02/1994,0.103127258,Expansion
01/03/1994,0.108993476,Expansion
01/04/1994,0.115012363,Expansion
01/05/1994,0.121182887,Expansion
01/06/1994,0.127503993,Expansion
01/07/1994,0.133974596,Expansion
01/08/1994,0.140593588,Expansion
01/09/1994,0.147359836,Expansion
01/10/1994,0.154272178,Expansion
01/11/1994,0.161329432,Expansion
01/12/1994,0.168530388,Expansion
01/01/1995,0.175873811,Expansion
01/02/1995,0.183358445,Expansion
01/03/1995,0.190983006,Expansion
01/04/1995,0.198746187,Expansion
01/05/1995,0.20664666,Expansion
01/06/1995,0.214683069,Expansion
01/07/1995,0.222854039,Expansion
01/08/1995,0.231158168,Expansion
01/09/1995,0.239594034,Expansion
01/10/1995,0.248160193,Expansion
01/11/1995,0.256855175,Expansion
01/12/1995,0.265677491,Expansion
01/01/1996,0.274625629,Expansion
01/02/1996,0.283698057,Expansion
01/03/1996,0.292893219,Expansion
01/04/1996,0.30220954,Expansion
01/05/1996,0.311645424,Expansion
01/06/1996,0.321199254,Expansion
01/07/1996,0.330869394,Expansion
01/08/1996,0.340654185,Expansion
01/09/1996,0.350551952,Expansion
01/10/1996,0.360560998,Expansion
01/11/1996,0.370679609,Expansion
01/12/1996,0.380906051,Expansion
01/01/1997,0.391238571,Expansion
01/02/1997,0.401675399,Expansion
01/03/1997,0.412214748,Expansion
01/04/1997,0.42285481,Expansion
01/05/1997,0.433593763,Expansion
01/06/1997,0.444429767,Expansion
01/07/1997,0.455360965,Expansion
01/08/1997,0.466385484,Expansion
01/09/1997,0.477501435,Expansion
01/10/1997,0.488706914,Expansion
01/11/1997,0.5,Expansion
01/12/1997,0.511378759,Expansion
01/01/1998,0.52284124,Expansion
01/02/1998,0.53438548,Expansion
01/03/1998,0.5460095,Expansion
01/04/1998,0.55771131,Expansion
01/05/1998,0.569488903,Expansion
01/06/1998,0.581340262,Expansion
01/07/1998,0.593263357,Expansion
01/08/1998,0.605256144,Expansion
01/09/1998,0.617316568,Expansion
01/10/1998,0.629442562,Expansion
01/11/1998,0.64163205,Expansion
01/12/1998,0.653882943,Expansion
01/01/1999,0.666193141,Expansion
01/02/1999,0.678560535,Expansion
01/03/1999,0.690983006,Expansion
01/04/1999,0.703458425,Expansion
01/05/1999,0.715984655,Expansion
01/06/1999,0.72855955,Expansion
01/07/1999,0.741180955,Expansion
01/08/1999,0.753846707,Expansion
01/09/1999,0.766554636,Expansion
01/10/1999,0.779302565,Expansion
01/11/1999,0.792088309,Expansion
01/12/1999,0.804909678,Expansion
01/01/2000,0.817764475,Expansion
01/02/2000,0.830650496,Expansion
01/03/2000,0.843565535,Expansion
01/04/2000,0.856507378,Expansion
01/05/2000,0.869473808,Expansion
01/06/2000,0.882462603,Expansion
01/07/2000,0.895471537,Expansion
01/08/2000,0.908498381,Expansion
01/09/2000,0.921540904,Expansion
01/10/2000,0.934596871,Expansion
01/11/2000,0.947664044,Expansion
01/12/2000,0.960740184,Expansion
01/01/2001,0.973823052,Expansion
01/02/2001,0.986910404,Expansion
01/03/2001,1,Peak
01/04/2001,0.804909678,Recession
01/05/2001,0.617316568,Recession
01/06/2001,0.444429767,Recession
01/07/2001,0.292893219,Recession
01/08/2001,0.168530388,Recession
01/09/2001,0.076120467,Recession
01/10/2001,0.01921472,Recession
01/11/2001,0,Trough
01/12/2001,0.000231498,Expansion
01/01/2002,0.000925885,Expansion
01/02/2002,0.002082839,Expansion
01/03/2002,0.003701825,Expansion
01/04/2002,0.005782093,Expansion
01/05/2002,0.00832268,Expansion
01/06/2002,0.01132241,Expansion
01/07/2002,0.014779893,Expansion
01/08/2002,0.01869353,Expansion
01/09/2002,0.023061507,Expansion
01/10/2002,0.027881803,Expansion
01/11/2002,0.033152186,Expansion
01/12/2002,0.038870216,Expansion
01/01/2003,0.045033245,Expansion
01/02/2003,0.05163842,Expansion
01/03/2003,0.058682682,Expansion
01/04/2003,0.066162771,Expansion
01/05/2003,0.074075223,Expansion
01/06/2003,0.082416374,Expansion
01/07/2003,0.091182363,Expansion
01/08/2003,0.10036913,Expansion
01/09/2003,0.109972424,Expansion
01/10/2003,0.119987796,Expansion
01/11/2003,0.130410611,Expansion
01/12/2003,0.141236042,Expansion
01/01/2004,0.152459077,Expansion
01/02/2004,0.164074521,Expansion
01/03/2004,0.176076994,Expansion
01/04/2004,0.188460941,Expansion
01/05/2004,0.201220627,Expansion
01/06/2004,0.214350145,Expansion
01/07/2004,0.227843416,Expansion
01/08/2004,0.241694192,Expansion
01/09/2004,0.25589606,Expansion
01/10/2004,0.270442446,Expansion
01/11/2004,0.285326614,Expansion
01/12/2004,0.300541673,Expansion
01/01/2005,0.316080578,Expansion
01/02/2005,0.331936136,Expansion
01/03/2005,0.348101004,Expansion
01/04/2005,0.364567699,Expansion
01/05/2005,0.381328597,Expansion
01/06/2005,0.398375937,Expansion
01/07/2005,0.415701826,Expansion
01/08/2005,0.433298244,Expansion
