Date,SP500Returns,HouseValue,RetailSales,BuildingPermits,ConsumerSentiment,AvgWeeklyHoursMan,NewOrdersMan,ThreemonthsIR,FiveyearsIR,TenyearsIR,ThirtyyearsIR,IndProdInd,DispPersIncome,ManTradeSales,TotalInvToSales,AvgDurUnem,YOYCoreCPI,PrimeLendRate,CommNndLoansAllBanks,OutstandingLoans,SP500Returns_pct_change,HouseValue_pct_change,RetailSales_pct_change,BuildingPermits_pct_change,ConsumerSentiment_pct_change,AvgWeeklyHoursMan_pct_change,NewOrdersMan_pct_change,ThreemonthsIR_pct_change,FiveyearsIR_pct_change,TenyearsIR_pct_change,ThirtyyearsIR_pct_change,IndProdInd_pct_change,DispPersIncome_pct_change,ManTradeSales_pct_change,TotalInvToSales_pct_change,AvgDurUnem_pct_change,YOYCoreCPI_pct_change,PrimeLendRate_pct_change,CommNndLoansAllBanks_pct_change,OutstandingLoans_pct_change
2007-01-01,0.014059042735039773,214575,327181,1626,96.9,40,427905,4.99,4.82,4.83,4.93,99.86,11403.7,1296080,1.31,16.3,0.026574803149606252,8.25,1193.7869,5899.1507,11.440113540600706,0.030767939806719546,0.10157595709334721,-0.73260073260073,5.670665212649939,0.25062656641603454,-2.281145665389339,2.0449897750511425,2.553191489361706,2.547770700636942,2.494802494802495,-0.39161079114158337,-0.027176771750170303,-0.6098772040278089,2.34375,1.2422360248447228,1.686227900758075,0,1.034228449885366,0.29629581017021067
2007-02-01,-0.02184617603352823,214591,327953,1598,91.3,39.8,430410,5.01,4.52,4.56,4.68,100.8096,11439.6,1303857,1.3,16.7,0.0271856581532417,8.25,1213.7245,5932.3725,-255.38878745336163,0.007456600256317003,0.2359550218380635,-1.7220172201722006,-5.779153766769873,-0.5000000000000115,0.5854103130367827,0.4008016032064132,-6.224066390041505,-5.590062111801252,-5.070993914807298,0.9509313038253531,0.31481010549208044,0.6000401209801831,-0.7633587786259555,2.4539877300613355,2.298624754420797,0,1.6701138201466348,0.5631624226857035
2007-03-01,0.009979982896830553,214552,330579,1596,88.4,40,442158,4.9,4.54,4.65,4.84,101.0257,11475,1305493,1.28,17.8,0.025051395007342103,8.25,1219.0115,5871.9184,-145.68297390588566,-0.018174107954205265,0.8007244940585911,-0.12515644555695093,-3.176341730558585,0.5025125628140836,2.7294904858158553,-2.195608782435121,0.4424778761062065,1.9736842105263275,3.418803418803429,0.21436450496776782,0.309451379418868,0.125473882488647,-1.538461538461544,6.586826347305408,-7.850695149144659,0,0.43560132468283275,-1.0190543496720883
2007-04-01,0.04329069060242419,214420,329560,1470,87.1,40,446596,4.79,4.51,4.63,4.81,101.7497,11490.1,1303242,1.28,16.9,0.024155273437499902,8.25,1228.6311,5941.7633,333.7751983139416,-0.061523546739250534,-0.30824704533560787,-7.8947368421052655,-1.4705882352941346,0,1.0037136046390671,-2.244897959183678,-0.6607929515418554,-0.43010752688172893,-0.6198347107438051,0.7166493278442987,0.13159041394334992,-0.17242528301568694,0,-5.056179775280912,-3.577132409510786,0,0.7891311935941614,1.1894732733343183
2007-05-01,0.03254922870993493,214106,334202,1493,88.3,40,445891,4.6,4.86,4.9,5.01,101.8148,11495.5,1311962,1.28,16.6,0.022677702044790582,8.25,1246.5951,5991.4153,-24.812405953828232,-0.14644156328700308,1.4085447263017414,1.56462585034014,1.3777267508610747,0,-0.15786079588711033,-3.9665970772442716,7.760532150776056,5.831533477321815,4.158004158004158,0.06398053262073322,0.0469969800088732,0.6691005968193275,0,-1.7751479289940697,-6.116972331248638,0,1.462115031924549,0.8356441933659697
2007-06-01,-0.017816322202167556,213646,331076,1407,85.3,40.1,446539,4.68,4.92,5.03,5.12,101.8424,11488.4,1310470,1.28,16.5,0.02181641573579407,8.25,1265.0698,6044.031,-154.73654187304757,-0.21484685155950256,-0.9353624454671139,-5.760214333556601,-3.3975084937712396,0.24999999999999467,0.14532699695666285,1.7391304347826209,1.2345679012345512,2.6530612244897833,2.1956087824351433,0.02710804323142746,-0.06176329868209374,-0.11372280599590834,0,-0.6024096385542244,-3.7979434922259303,0,1.4820128845364433,0.878184825545314
2007-07-01,-0.03198187831680255,213028,332342,1361,90.4,40.1,450464,4.82,4.6,4.78,4.92,101.7209,11500.4,1302662,1.29,17.2,0.021682016480853106,8.25,1284.72,6095.7116,79.50886806992968,-0.28926354811229515,0.38238954197826747,-3.269367448471927,5.978898007034017,0,0.8789825748702906,2.991452991453003,-6.504065040650408,-4.970178926441349,-3.90625,-0.11930198031467887,0.10445318756311384,-0.5958167680297888,0.78125,4.2424242424242475,-0.6160464512988573,0,1.553289786856027,0.8550684137788034
2007-08-01,0.012863571531556817,212434,334169,1321,83.4,40.1,452598,3.91,4.25,4.54,4.83,101.9639,11506.2,1319012,1.28,17,0.020884912959380886,8.25,1321.029,6212.6112,-140.22143854133355,-0.2788365848620855,0.5497349116271755,-2.9390154298310045,-7.743362831858402,0,0.4737337500887895,-18.87966804979253,-7.608695652173902,-5.020920502092052,-1.8292682926829285,0.23888895988926073,0.050433028416407844,1.25512220361077,-0.7751937984496138,-1.1627906976744096,-3.6763348195778978,0,2.8262189426489837,1.9177350844485685
2007-09-01,0.03579400834329949,211727,335442,1261,83.4,40.1,448633,3.72,4.23,4.59,4.83,102.2023,11527.1,1319652,1.28,16.3,0.02101351351351366,7.75,1359.6511,6293.127,178.25871108571906,-0.3328092489902734,0.38094497095781943,-4.542013626040875,0,0,-0.8760533630285616,-4.859335038363167,-0.47058823529411153,1.1013215859030812,0,0.23380823997511957,0.18164120213450818,0.04852116584230792,0,-4.117647058823525,0.6157581522263866,-6.060606060606055,2.923637558297365,1.2960057761219668
2007-10-01,0.01482233830031121,210935,337530,1192,80.9,39.9,458907,3.84,4.16,4.48,4.74,101.8873,11523.6,1326662,1.27,17,0.021565510597302495,7.5,1376.7363,6384.9832,-58.58988979901185,-0.3740666046371022,0.6224623034682519,-5.47184773988898,-2.9976019184652314,-0.4987531172069848,2.2900678282694376,3.2258064516129004,-1.654846335697402,-2.3965141612200314,-1.8633540372670732,-0.3082122417988664,-0.03036323099478988,0.5312006498682909,-0.78125,4.294478527607359,2.6268671511494146,-3.2258064516129004,1.2565870759049913,1.459627304518074
2007-11-01,-0.04404341722481442,209957,341133,1224,76.1,40.1,464910,3.08,3.41,3.97,4.4,102.4717,11512.3,1323441,1.26,17.3,0.023387872954764077,7.5,1405.5671,6431.1029,-397.1421669945941,-0.46364993955484435,1.0674606701626566,2.684563758389258,-5.933250927070466,0.5012531328320913,1.308108178781331,-19.791666666666664,-18.028846153846157,-11.38392857142858,-7.1729957805907185,0.5735749205249441,-0.09805963414212249,-0.2427897987580807,-0.7874015748031482,1.764705882352935,8.450355716082747,0,2.0941410493788837,0.7223151346741341
2007-12-01,-0.008628509033968612,208928,336189,1149,75.5,40.1,481274,3.29,3.45,4.04,4.45,102.4621,11552.1,1312662,1.28,16.6,0.024353676117251366,7.25,1423.8891,6490.2149,-80.40908363234985,-0.4901003538819837,-1.4492881075709452,-6.127450980392157,-0.7884362680683266,0,3.51982104063151,6.818181818181812,1.1730205278592365,1.76322418136019,1.1363636363636243,-0.009368440262036426,0.34571718944087504,-0.8144677397783462,1.5873015873015817,-4.046242774566466,4.129504056890121,-3.3333333333333326,1.3035307955059583,0.9191580498579821
